"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"## Exercise tool call with RAG Qdrant query
- Ask for the City complaint process
  - Crawler process has full city website so this document should be there
- Assert that response says Yes to validate query worked
","2443","City RAG Complaint Search","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","cityRagTest"
"## Exercise tool call with Square API Call
- Search for Chuckles Candy that is always in stock
- Assert that response says yes we have it
","3337","Chuckles Candy","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","chucklesCandyTest"
"## Exercise tool call with Square API Call
- Ask if a Staff member works at the Store
- Assert that response says the person does work there
","2699","Store Staff","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","staffTest"
"## Verify Chat Memory is working
- Ask what the first query was
  - If chat memory is working properly, it should tell us what we asked in the first test
- Assert that response says we asked about Chuckles Candy which was the first smoke test
","1315","Chat Memory","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","chatMemoryTest"
"## Check Prompting knowledge
- Ask for the store address
- Assert that response contains our street address
","3839","Store Address","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","addressTest"
"## Send a ""Hello"" prompt to warm the stack
- use random session ID so it doesn't count for the rest of the real tests
- Assert that there is just a response
","8300","Warm Up the Stack","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","warmupStack"
"","503","Performance Summary","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","performanceSummary"
"## Exercise tool call with Weather API Call
- Ask for current weather at the store
- Assert that response returns the temperature
","3666","Weather Forecast","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","weatherTest"
"## Check Prompting knowledge
- Ask for restaurant recommendation
- Assert that response says Muggs which is next door to the Store
","5257","Restaurant Recommendation","","2026-03-25","passed","2026-03-25","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","restaurantTest"
