"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3225","Weather Test","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","weatherTest"
"","4188","Chuckles Candy Test","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","chucklesCandyTest"
"","2435","Staff Test","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","staffTest"
"","1711","Address Test","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","addressTest"
"","504","Performance Summary","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","performanceSummary"
"","1946","Restaurant Recommendation Test","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","restaurantTest"
"","4549","Warm Up the Stack","","2025-12-16","passed","2025-12-16","","cloud.cleo.squareup.SmokeTests","cloud.cleo.squareup.SmokeTests","warmupStack"
